Indicator Name,Year,Value
Access to clean fuels and technologies for cooking (% of population),1995,-1.0
"Access to clean fuels and technologies for cooking, rural (% of rural population)",1995,-1.0
"Access to clean fuels and technologies for cooking, urban (% of urban population)",1995,-1.0
Access to electricity (% of population),1995,60.8
"Access to electricity, rural (% of rural population)",1995,39.0295528857567
"Access to electricity, urban (% of urban population)",1995,88.9
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",1995,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",1995,-1.0
Adequacy of social insurance programs (% of total welfare of beneficiary households),1995,-1.0
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),1995,-1.0
Adequacy of social safety net programs (% of total welfare of beneficiary households),1995,-1.0
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),1995,-1.0
"Adjusted net enrollment rate, primary (% of primary school age children)",1995,-1.0
"Adjusted net enrollment rate, primary, female (% of primary school age children)",1995,-1.0
"Adjusted net enrollment rate, primary, male (% of primary school age children)",1995,-1.0
Adjusted net national income (annual % growth),1995,5.59679800153086
Adjusted net national income (constant 2015 US$),1995,28972785449.0784
Adjusted net national income (current US$),1995,13447341840.8305
Adjusted net national income per capita (annual % growth),1995,3.03803180798377
Adjusted net national income per capita (constant 2015 US$),1995,2816.50512114069
Adjusted net national income per capita (current US$),1995,1307.24424915912
"Adjusted net savings, excluding particulate emission damage (% of GNI)",1995,4.86648887172751
"Adjusted net savings, excluding particulate emission damage (current US$)",1995,705461041.722163
"Adjusted net savings, including particulate emission damage (% of GNI)",1995,2.66515299233556
"Adjusted net savings, including particulate emission damage (current US$)",1995,386348691.198089
Adjusted savings: carbon dioxide damage (% of GNI),1995,0.669642026854396
Adjusted savings: carbon dioxide damage (current US$),1995,97073346.7798822
Adjusted savings: consumption of fixed capital (% of GNI),1995,6.73043903114166
Adjusted savings: consumption of fixed capital (current US$),1995,975664931.187078
Adjusted savings: education expenditure (% of GNI),1995,1.5
Adjusted savings: education expenditure (current US$),1995,217444566.395896
Adjusted savings: energy depletion (% of GNI),1995,0.0401750103535295
Adjusted savings: energy depletion (current US$),1995,5823891.80418258
Adjusted savings: gross savings (% of GNI),1995,11.2721998628399
Adjusted savings: mineral depletion (% of GNI),1995,7.24086654310292e-06
Adjusted savings: mineral depletion (current US$),1995,1049.65805719705
Adjusted savings: natural resources depletion (% of GNI),1995,0.505629933116347
Adjusted savings: net forest depletion (% of GNI),1995,0.465447681896274
Adjusted savings: net forest depletion (current US$),1995,67472712.9132737
Adjusted savings: net national savings (% of GNI),1995,4.54176083169825
Adjusted savings: net national savings (current US$),1995,658387476.481662
Adjusted savings: particulate emission damage (% of GNI),1995,2.20133587939195
Adjusted savings: particulate emission damage (current US$),1995,319112350.524074
"Adolescent fertility rate (births per 1,000 women ages 15-19)",1995,111.94
Adolescents out of school (% of lower secondary school age),1995,-1.0
"Adolescents out of school, female (% of female lower secondary school age)",1995,-1.0
"Adolescents out of school, male (% of male lower secondary school age)",1995,-1.0
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,1995,4200.0
Adults (ages 15-49) newly infected with HIV,1995,3400.0
Age dependency ratio (% of working-age population),1995,93.7580981438051
"Age dependency ratio, old (% of working-age population)",1995,7.21596764189398
"Age dependency ratio, young (% of working-age population)",1995,86.5421305019111
Agricultural irrigated land (% of total agricultural land),1995,-1.0
Agricultural land (% of land area),1995,42.1052631578947
Agricultural land (sq. km),1995,45120.0
"Agricultural machinery, tractors",1995,-1.0
"Agricultural machinery, tractors per 100 sq. km of arable land",1995,-1.0
Agricultural methane emissions (% of total),1995,55.8518518518519
Agricultural methane emissions (thousand metric tons of CO2 equivalent),1995,3771.5725
Agricultural nitrous oxide emissions (% of total),1995,79.1946308724832
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),1995,2354.7662
Agricultural raw materials exports (% of merchandise exports),1995,4.14821214715806
Agricultural raw materials imports (% of merchandise imports),1995,1.50822064107127
"Agriculture, forestry, and fishing, value added (% of GDP)",1995,24.1507235373736
"Agriculture, forestry, and fishing, value added (annual % growth)",1995,3.50697278288411
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",1995,3449235988.32234
"Agriculture, forestry, and fishing, value added (constant LCU)",1995,25022613800.0
"Agriculture, forestry, and fishing, value added (current LCU)",1995,20565957500.0
"Agriculture, forestry, and fishing, value added (current US$)",1995,3539386207.96475
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",1995,2628.55896659355
"Air transport, freight (million ton-km)",1995,24.6000003815
"Air transport, passengers carried",1995,300000.0
"Air transport, registered carrier departures worldwide",1995,5100.0
Alternative and nuclear energy (% of total energy use),1995,2.56408299928783
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",1995,-1.0
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",1995,-1.0
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",1995,-1.0
"Annual freshwater withdrawals, total (% of internal resources)",1995,-1.0
"Annual freshwater withdrawals, total (billion cubic meters)",1995,-1.0
"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population (%)",1995,-1.0
"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",1995,-1.0
Antiretroviral therapy coverage (% of people living with HIV),1995,-1.0
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),1995,-1.0
Aquaculture production (metric tons),1995,3675.0
Arable land (% of land area),1995,12.6446435237029
Arable land (hectares per person),1995,0.131722386370242
Arable land (hectares),1995,1355000.0
ARI treatment (% of children under 5 taken to a health provider),1995,-1.0
Armed forces personnel (% of total labor force),1995,1.58421238427889
"Armed forces personnel, total",1995,56500.0
Arms exports (SIPRI trend indicator values),1995,-1.0
Arms imports (SIPRI trend indicator values),1995,4000000.0
"Automated teller machines (ATMs) (per 100,000 adults)",1995,-1.0
Average precipitation in depth (mm per year),1995,1996.0
Average time to clear exports through customs (days),1995,-1.0
Average transaction cost of sending remittances from a specific country (%),1995,-1.0
Average transaction cost of sending remittances to a specific country (%),1995,-1.0
"Average working hours of children, study and work, ages 7-14 (hours per week)",1995,-1.0
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",1995,-1.0
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",1995,-1.0
"Average working hours of children, working only, ages 7-14 (hours per week)",1995,-1.0
"Average working hours of children, working only, female, ages 7-14 (hours per week)",1995,-1.0
"Average working hours of children, working only, male, ages 7-14 (hours per week)",1995,-1.0
Bank capital to assets ratio (%),1995,-1.0
Bank liquid reserves to bank assets ratio (%),1995,-1.0
Bank nonperforming loans to total gross loans (%),1995,-1.0
Battle-related deaths (number of people),1995,27.0
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),1995,-1.0
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),1995,-1.0
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),1995,-1.0
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),1995,-1.0
"Binding coverage, all products (%)",1995,100.0
"Binding coverage, manufactured products (%)",1995,100.0
"Binding coverage, primary products (%)",1995,100.0
"Bird species, threatened",1995,-1.0
"Birth rate, crude (per 1,000 people)",1995,37.349
Births attended by skilled health staff (% of total),1995,34.8
"Borrowers from commercial banks (per 1,000 adults)",1995,-1.0
"Bound rate, simple mean, all products (%)",1995,41.15
"Bound rate, simple mean, manufactured products (%)",1995,39.5
"Bound rate, simple mean, primary products (%)",1995,46.75
Bribery incidence (% of firms experiencing at least one bribe payment request),1995,-1.0
Broad money (% of GDP),1995,19.5598248513479
Broad money (current LCU),1995,16656500000.0
Broad money growth (annual %),1995,15.5569893368299
Broad money to total reserves ratio,1995,3.65946752979591
Business extent of disclosure index (0=less disclosure to 10=more disclosure),1995,-1.0
Capture fisheries production (metric tons),1995,8253.0
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",1995,-1.0
"Cause of death, by injury (% of total)",1995,-1.0
"Cause of death, by non-communicable diseases (% of total)",1995,-1.0
"Central government debt, total (% of GDP)",1995,11.404999017517
"Central government debt, total (current LCU)",1995,9712120000.0
Cereal production (metric tons),1995,1163637.0
Cereal yield (kg per hectare),1995,1912.0
Changes in inventories (constant LCU),1995,3142497800.0
Changes in inventories (current LCU),1995,460163000.0
Changes in inventories (current US$),1995,79193714.9347744
"Charges for the use of intellectual property, payments (BoP, current US$)",1995,-1.0
"Charges for the use of intellectual property, receipts (BoP, current US$)",1995,-1.0
Chemicals (% of value added in manufacturing),1995,-1.0
