,Country Name,Country Code,Indicator Name,Indicator Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,KMeans_Cluster
0,Argentina,ARG,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,33.412,33.479,34.739,-1.0,34.537,33.415,33.107,33.254,33.114,32.31,31.329,-1.0,-1.0,30.136,30.056,28.918,0
1,Bolivia,BOL,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,44.637,50.142,-1.0,48.171,48.103,-1.0,49.83,43.342,43.518,48.968,41.007,40.572,41.553,46.191,49.909,0
2,Brazil,BRA,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,51.991,52.291,52.108,52.541,52.918,51.097,-1.0,49.633,48.082,47.213,46.602,44.295,40.578,40.088,40.516,41.638,0
3,Chile,CHL,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,27.496,27.713,28.461,28.983,30.157,28.302,30.587,31.734,31.145,30.482,30.127,30.259,29.208,28.351,27.603,25.487,0
4,Colombia,COL,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,40.384,40.569,-1.0,37.975,37.306,39.86,39.942,41.464,42.799,42.315,42.133,42.496,40.913,40.135,38.756,37.087,0
5,Costa Rica,CRI,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,40.856,41.586,42.602,45.9,43.691,38.884,37.067,34.063,37.398,37.583,36.691,35.657,33.554,33.917,34.27,31.24,0
6,Cuba,CUB,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2
7,Dominican Republic,DOM,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,36.327,35.543,36.62,36.369,37.549,32.728,34.399,34.898,35.035,33.899,35.379,36.77,37.232,37.718,37.976,38.151,0
8,Ecuador,ECU,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,48.434,48.303,49.986,47.264,46.072,42.928,40.479,37.939,39.213,37.618,36.517,38.998,40.171,41.415,40.5,40.108,0
9,El Salvador,SLV,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,-1.0,-1.0,-1.0,-1.0,43.4,42.646,43.647,44.035,43.404,41.725,41.643,41.669,41.902,41.878,42.594,1
10,Guatemala,GTM,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,52.09,-1.0,-1.0,-1.0,-1.0,-1.0,48.284,49.248,55.176,47.041,48.591,49.264,49.526,49.837,49.917,49.063,1
11,Honduras,HND,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,48.099,46.706,45.654,46.701,47.409,47.616,45.887,44.764,47.916,47.412,48.569,46.653,49.041,51.702,49.351,0
12,Mexico,MEX,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,43.107,44.571,44.973,44.886,44.073,42.199,42.487,42.274,42.796,41.972,41.244,40.988,40.843,40.794,40.787,41.649,0
13,Nicaragua,NIC,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,64.812,-1.0,47.291,-1.0,-1.0,-1.0,-1.0,-1.0,2
14,Panama,PAN,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.638,38.557,41.498,41.847,39.518,38.129,38.192,37.156,39.168,38.51,1
15,Paraguay,PRY,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,54.099,52.555,52.341,51.23,52.837,55.113,50.706,50.144,53.047,52.4,49.756,48.089,51.03,50.037,50.034,50.225,0
16,Peru,PER,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,62.349,57.665,61.307,62.711,63.434,63.801,64.45,63.051,62.738,61.262,59.418,56.574,55.658,57.107,56.961,57.652,0
17,Uruguay,URY,"Employment to population ratio, ages 15-24, total (%) (national estimate)",SL.EMP.1524.SP.NE.ZS,35.296,37.573,38.389,41.263,41.795,42.713,42.537,44.722,43.537,43.086,42.763,39.223,37.698,36.128,35.364,34.441,0
