Indicator Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Access to clean fuels and technologies for cooking (% of population),-1.0,-1.0,-1.0,-1.0,-1.0,40.7,39.9,39.2,38.7,38.3,37.9,37.7,37.8,37.8,38.1,38.5,39.1,39.7,40.6,41.3,42.2,43.2,44.2,45.3,46.3,47.3,48.1
"Access to clean fuels and technologies for cooking, rural (% of rural population)",-1.0,-1.0,-1.0,-1.0,-1.0,17.1,16.2,15.3,14.6,13.9,13.2,12.8,12.4,12.1,11.9,11.6,11.6,11.5,11.5,11.6,11.7,11.8,11.9,11.8,12.0,11.9,12.1
"Access to clean fuels and technologies for cooking, urban (% of urban population)",-1.0,-1.0,-1.0,-1.0,-1.0,66.75,65.7,64.8,64.0,63.4,62.7,62.4,62.1,62.0,62.4,62.7,63.4,64.0,64.8,65.8,66.9,68.2,69.3,70.4,71.6,72.4,73.35
Access to electricity (% of population),60.8,67.6799392700195,68.9040756225586,70.1241302490234,70.9,73.318205,73.7332153320313,78.667838,78.512204,77.1511611938477,78.3060760498047,83.730998,80.6752700805664,81.8875045776367,83.1131362915039,84.3483047485352,84.026414,86.8319396972656,88.0727233886719,85.494371,90.5392456054688,91.765869140625,93.3,94.2099914550781,95.4291458129883,96.6474685668945,97.8656539916992
"Access to electricity, rural (% of rural population)",39.0295528857567,48.3405077897122,50.0959800122391,51.8763756005667,54.2124597976938,55.0092542658665,57.3316395522942,64.1466893181512,63.3966965606878,62.6757117628871,64.5106848767451,74.1837733592265,68.280084210956,70.2159005577853,72.1857471704015,74.1867432584973,73.9852065787239,78.2819391141001,80.3706617700031,76.6559533133771,84.6294407556745,86.802107990018,89.6352551324027,91.2395334474422,93.5070932323909,95.8087667855816,98.1460204027161
"Access to electricity, urban (% of urban population)",88.9,92.3047561645508,92.530143737793,92.736572265625,91.3,95.397837,93.246452331543,95.710971,96.030896,93.7282485961914,93.9170150756836,94.40666,94.3708190917969,94.6299057006836,94.9019241333008,95.1804046630859,94.603279,95.7309188842773,95.9900207519531,94.463137,96.4559097290039,96.6666946411133,96.8664016723633,97.0578002929688,97.2436599731445,97.4267578125,97.6093826293945
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.32,-1.0,-1.0,41.35,-1.0,-1.0,44.11,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.59,-1.0,-1.0,34.69,-1.0,-1.0,42.09,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.89,-1.0,-1.0,48.76,-1.0,-1.0,46.36,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.63,-1.0,-1.0,43.74,-1.0,-1.0,45.42,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.74,-1.0,-1.0,29.08,-1.0,-1.0,30.42,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,12.8,-1.0,-1.0,26.19,-1.0,-1.0,32.72,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,29.36,-1.0,-1.0,49.52,-1.0,-1.0,53.14,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.44,-1.0,-1.0,53.18,-1.0,-1.0,55.8,-1.0,-1.0,-1.0,-1.0
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.73,-1.0,-1.0,36.85,-1.0,-1.0,41.58,-1.0,-1.0,-1.0,-1.0
Adequacy of social insurance programs (% of total welfare of beneficiary households),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.4731521764294,-1.0,-1.0,-1.0,-1.0,6.24267924179928,-1.0,-1.0,22.3202974475634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adequacy of social protection and labor programs (% of total welfare of beneficiary households),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.8942263239971,-1.0,-1.0,-1.0,-1.0,4.79648352591365,-1.0,-1.0,22.3202974475634,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adequacy of social safety net programs (% of total welfare of beneficiary households),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.61748049641442,-1.0,-1.0,-1.0,-1.0,3.38079790245225,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
